県番号,都道府県,名称,郵便番号,住所,緯度,経度
13,東京都,本部,150-0046,東京都渋谷区松濤1-1-2,35.6626479,139.6946672
1,北海道,札幌,002-0855,北海道札幌市北区屯田五条9丁目1-36,43.1330098,141.3219264
1,北海道,札幌手稲西,006-0837,北海道札幌市手稲区曙7条2丁目8-41,43.1399047,141.2371174
1,北海道,札幌南,062-0054,北海道札幌市豊平区月寒東4条10丁目2-10,43.0317671,141.4101673
1,北海道,札幌創成,001-0023,北海道札幌市北区北23条西3丁目1-21 ソシアルビル2F,43.0893289,141.34511
1,北海道,旭川,070-0032,北海道旭川市二条通11丁目右1号 ツインクル2条通ビル,43.7652599,142.365135
1,北海道,札幌白石,003-0023,北海道札幌市白石区南郷通11丁目北1-20 サンホームビル3F,43.0373726,141.4194699
1,北海道,帯広,080-0026,北海道帯広市西16条南4丁目5番地,42.9132997,143.1781969
1,北海道,釧路,085-0831,北海道釧路市住吉2丁目1-3,42.9805544,144.3930956
1,北海道,苫小牧,053-0022,北海道苫小牧市表町3丁目2-3　タカオビル2F,42.6362881,141.5988916
1,北海道,岩見沢,068-0007,北海道岩見沢市7条東3丁目6-5　サンライズ2F,43.2015808,141.7721036
1,北海道,江別,067-0061,北海道江別市上江別東町10-37,43.107693,141.5567403
1,北海道,函館,040-0036,北海道函館市東雲町13-8,41.7698831,140.7301049
2,青森県,青森,038-0015,青森県青森市千刈2丁目10-1,40.8261418,140.7174397
2,青森県,十和田,034-0092,青森県十和田市元町西5丁目13-30,40.6243205,141.1984335
2,青森県,弘前,036-8094,青森県弘前市外崎1-6-3,40.5972897,140.4948714
2,青森県,八戸,031-0802,青森県八戸市小中野6丁目7-17 2F,40.5169175,141.5153108
5,秋田県,秋田,010-0951,秋田県秋田市山王6丁目18-14,39.7158823,140.0968613
5,秋田県,横手,013-0105,秋田県横手市平鹿町浅舞字福田310,39.2681509,140.4930043
3,岩手県,盛岡,020-0121,岩手県盛岡市月が丘3丁目49-50,39.7403286,141.1067701
3,岩手県,盛岡南,020-0823,岩手県盛岡市門2丁目22-41,39.6642523,141.1728979
3,岩手県,花巻,025-0002,岩手県花巻市西宮野目13-108-2,39.4206898,141.1178524
3,岩手県,一関,021-0004,岩手県一関市町浦4-15,38.9449821,141.1320515
6,山形県,山形,990-2481,山形県山形市あかねケ丘2丁目17-16,38.2471242,140.3084346
6,山形県,庄内,998-0852,山形県酒田市こがね町2-1-27,38.8991937,139.8561058
6,山形県,米沢,992-0003,山形県米沢市窪田町窪田1435-13　2F,37.9548036,140.1253044
7,福島県,郡山,963-8052,福島県郡山市八山田3-170,37.4315428,140.3722347
7,福島県,南郡山,963-8862,福島県郡山市菜根4-25-13　樽川第一ビル3F,37.3864618,140.3628418
