"HIP","RA","Dec","Mag"
1,0.000917,1.089,9.1
2,0.003792,-19.498833,9.27
3,0.005,38.859278,6.61
4,0.008375,-51.893556,8.06
5,0.009958,-40.591222,8.55
6,0.018125,3.9465,12.31
7,0.022542,20.036611,9.64
8,0.027292,25.886472,9.05
9,0.035333,36.585944,8.59
10,0.03625,-50.867083,8.59
11,0.037292,46.94,7.34
12,0.040917,-35.960222,8.43
13,0.041667,-22.594694,8.8
14,0.048292,-0.360417,7.25
15,0.050292,50.791167,8.6
16,0.051417,-54.914139,11.71
17,0.051083,-40.192333,8.15
18,0.053125,-4.05375,11.03
19,0.053333,38.304083,6.53
20,0.062958,23.529278,8.51
21,0.06625,8.007222,7.55
22,0.070125,-49.352278,8.69
23,0.074417,13.312222,7.57
24,0.076042,-23.45275,9.05
25,0.079375,-44.290306,6.28
26,0.084333,-13.393306,9.13
27,0.085458,-41.297528,9.32
28,0.08725,-43.361806,8.83
29,0.092125,-49.107944,9.14
30,0.096125,42.1415,8.26
31,0.098083,2.675472,7.63
32,0.098583,51.9395,9.09
33,0.099167,-10.462444,8.1
34,0.099458,26.91825,6.43
35,0.102542,-14.490472,9.07
36,0.103292,12.267083,7.68
37,0.105333,-47.179583,10.44
38,0.111042,-79.061833,8.65
39,0.111875,-16.696917,7.46
40,0.121958,67.216778,10.61
41,0.116583,54.30225,8.7
42,0.125375,25.844778,8.2
43,0.129083,59.55975,6.18
44,0.132708,-3.306361,7.91
45,0.134208,-72.202722,9.59
46,0.134542,-25.62225,8.57
47,0.135208,-56.83525,10.78
48,0.135208,-40.690444,7.31
49,0.1395,16.669028,9.53
50,0.142875,-53.097667,6.49
51,0.143375,1.066194,8.94
52,0.146667,-77.020139,8.56
53,0.147375,-29.263389,10.96
54,0.151667,17.968944,10.57
55,0.157833,-66.683111,7.4
56,0.162833,0.222944,8.12
57,0.168292,-69.675806,8.27
58,0.17375,62.176,7.05
59,0.174458,55.722472,9.09
60,0.175417,-64.465833,8.34
61,0.176167,53.822194,8.86
62,0.179958,-45.422722,8.27
63,0.18175,45.253333,6.36
64,0.184583,-27.907556,8.08
65,0.187958,-54.830333,11
66,0.188542,-72.31825,8.55
67,0.199083,23.53825,7.83
68,0.200625,16.988972,8.79
69,0.201375,30.395889,8.33
70,0.202792,36.777639,10.42
71,0.207083,36.780167,8.26
72,0.219458,-12.828667,8.97
73,0.220458,66.847972,6.9
74,0.221875,35.752722,9.93
75,0.223167,-50.446472,7.42
76,0.228208,32.825667,9.03
77,0.230542,-30.064167,8.41
78,0.232333,17.867833,8.06
79,0.235708,35.31675,8.69
80,0.241792,-11.823528,8.4
81,0.243875,-4.932111,8.57
82,0.248042,-10.935806,9.5
83,0.248083,52.080556,8.85
84,0.251792,27.886333,9.61
85,0.256,-24.714056,10.62
86,0.260375,69.6035,8.05
87,0.2615,-5.834972,7.8
88,0.269167,-48.809861,5.71
89,0.277167,53.166944,7.87
90,0.28,-41.887417,7.64
91,0.280583,-5.874333,7.66
92,0.290625,-20.705583,8.68
93,0.292208,-0.075917,8.12
94,0.294833,-32.756806,10.1
95,0.302042,-11.964,8.67
96,0.304875,13.97475,10.46
97,0.307333,-21.404056,9.48
98,0.307167,-52.798583,9.87
99,0.316,60.355306,7.04
100,0.316458,19.741306,8.44
101,0.31975,-47.793833,9.88
102,0.320417,-41.487361,7.05
103,0.322125,-68.371028,8.29
104,0.32675,-31.899611,9.34
105,0.327833,70.928944,7.73
106,0.330167,49.981583,6.22
107,0.333792,-50.337389,5.53
108,0.336542,-70.125306,8.53
109,0.346583,6.7915,7.23
110,0.348708,39.610806,8.61
111,0.349083,34.281861,11.28
112,0.356917,-16.947833,10.76
113,0.365625,49.010417,8.93
114,0.371667,30.735889,7.95
115,0.372583,-62.923167,7.46
116,0.375375,-33.792694,8.6
117,0.380417,-72.605917,8.55
118,0.3865,-9.430028,9.2
119,0.390208,44.675444,6.82
120,0.396,-45.344694,8.29
121,0.396458,28.423778,6.83
122,0.399375,-77.065306,4.78
123,0.40025,72.236611,7.21
124,0.40425,61.222806,5.58
125,0.40475,-39.336667,8.7
126,0.40875,14.632306,8.06
127,0.412083,-48.935167,10.86
128,0.41375,73.611889,6.5
129,0.415583,5.37275,9.32
130,0.41825,-30.6925,9.14
131,0.419958,62.018139,8.13
132,0.422,-34.6535,10.62
133,0.423375,-40.148667,6.62
134,0.425125,-1.139972,9.96
135,0.42675,-0.2175,8.64
136,0.428625,24.253194,6.6
137,0.432708,42.367139,6.25
138,0.437208,-16.531722,7.83
139,0.445292,67.506972,10.03
140,0.452667,-68.104806,9.04
141,0.453417,36.350333,8.47
142,0.45375,66.306,7.33
143,0.455167,21.462139,10.35
144,0.455083,76.175611,8.66
145,0.456,-3.027472,5.13
146,0.456208,-25.797694,8.96
147,0.466042,21.02625,8.49
148,0.478792,15.528528,8.15
149,0.478667,26.005583,11.26
150,0.480375,-37.229833,7.04
151,0.484583,-41.61375,7.78
152,0.484458,-28.130944,10.02
153,0.484542,12.654944,8.9
154,0.489958,-6.013972,4.37
155,0.491125,46.269167,9.93
156,0.496875,63.357833,8.6
157,0.500333,-5.214,8.51
158,0.500458,-37.901778,7.09
159,0.510792,-2.766167,6.93
160,0.511708,-69.269194,8.68
161,0.5125,33.696,8.98
162,0.513375,27.118611,9.84
163,0.517125,-30.685222,8.98
164,0.518583,59.94,7.98
165,0.51975,-22.327472,10.16
166,0.521542,-56.514889,8.86
167,0.527792,39.183222,8.58
168,0.533542,-2.819833,9.56
169,0.535042,-68.280194,9.24
170,0.537667,-20.871639,9.63
171,0.540208,27.0845,5.8
172,0.542875,67.408944,9.05
173,0.549583,47.577222,8.45
174,0.551583,59.965333,8.86
175,0.552417,49.771139,7.84
176,0.553333,44.428278,8.86
177,0.560208,-11.964333,8.93
178,0.567792,-27.135167,7.97
179,0.568875,-13.407528,6.9
180,0.570917,-9.174889,8.47
181,0.573833,60.703194,6.77
182,0.581167,52.586444,8.55
183,0.582958,-29.720444,5.04
184,0.589792,11.006333,8.48
185,0.590167,10.785639,8.53
186,0.600708,8.956833,6.33
187,0.602125,-6.059194,8.99
188,0.6025,6.333139,8.64
189,0.605292,54.135167,9.55
190,0.605542,10.776639,8.74
191,0.612292,-46.028833,12.43
192,0.619833,8.393917,8.16
193,0.621625,-39.2125,9.46
194,0.624,8.485583,5.7
195,0.62575,47.422972,7.62
196,0.627,51.829972,8.95
197,0.632333,42.147806,8.97
198,0.632708,15.335194,8.94
199,0.635042,16.256556,7.24
200,0.635458,-33.992667,10.32
201,0.639333,18.683361,8.24
202,0.64175,54.552167,8.62
203,0.64225,-15.831278,9.18
204,0.645083,-43.947917,8.53
205,0.645708,-5.186639,8.54
206,0.646833,18.836,8.56
207,0.650333,66.098972,5.87
208,0.649917,-67.634278,9.41
209,0.660167,66.100389,7.2
210,0.662167,-8.487944,9.05
211,0.663167,-37.947694,9.52
212,0.663458,-29.07525,10.24
213,0.666875,51.472417,7.7
214,0.669167,28.542222,8.17
215,0.6745,75.036194,9.26
216,0.676917,42.920694,7.94
217,0.674417,82.973222,7.29
218,0.67975,-57.633639,8.42
219,0.69025,6.034444,8.56
220,0.69175,35.815472,7.52
221,0.693208,80.28225,7.74
222,0.6945,-40.983167,8.85
223,0.696417,2.130389,7.17
224,0.69625,3.860417,9.01
225,0.700083,-15.040528,9.04
226,0.700292,-24.94525,10.3
227,0.704167,80.2865,9.86
228,0.710167,28.251889,7.64
229,0.713917,47.252278,8.27
230,0.715708,30.336528,8.44
231,0.723417,-58.781389,9.58
232,0.730042,-30.149778,8.43
233,0.731958,71.358556,8.49
234,0.733583,70.238,9.64
235,0.736458,71.368056,9.17
236,0.737833,-0.893833,8.09
237,0.739125,-39.527333,9
238,0.739292,-20.046083,6.25
