HIP,Name,Num,Constellation,RA,Dec,Mag,NameJ,Prn
88,,τ,Phe,0.269167,-48.809861,5.71,,
122,,θ,Oct,0.399375,-77.065306,4.78,,
145,,29,Psc,0.456,-3.027472,5.13,,
154,,30,Psc,0.489958,-6.013972,4.37,,
171,,85,Peg,0.540208,27.0845,5.8,,
183,,ζ,Scl,0.582958,-29.720444,5.04,,
186,,31,Psc,0.600708,8.956833,6.33,,
194,,c,Psc,0.624,8.485583,5.7,,
301,,2,Cet,0.934875,-17.335972,4.55,,
330,,9,Cas,1.056917,62.287667,5.9,,
355,,3,Cet,1.1255,-10.5095,4.99,,
443,,33,Psc,1.333958,-5.707833,4.61,,
476,,86,Peg,1.42475,13.396278,5.55,,
531,,10,Cas,1.610542,64.196167,5.57,,
664,,5,Cet,2.050375,-2.447694,6.18,,
677,Alpheratz,α,And,2.096542,29.090833,2.07,アルフェラッツ,1
729,,87,Peg,2.25975,18.212028,5.57,,
746,Caph,β,Cas,2.292042,59.150222,2.28,カフ,
761,,κ1,Scl,2.337583,-27.987917,5.42,,
765,,ε,Phe,2.35225,-45.747,3.88,,
813,,34,Psc,2.509083,11.145806,5.54,,
814,,γ3,Oct,2.509458,-82.224,5.29,,
841,,22,And,2.580167,46.072278,5.01,,
910,,6,Cet,2.816292,-15.467333,4.89,,
930,,κ2,Scl,2.893417,-27.799778,5.41,,
950,,θ,Scl,2.932875,-35.133389,5.24,,
1067,Algenib,γ,Peg,3.308958,15.183611,2.83,アルゲニブ,1
1086,,23,And,3.378917,41.035722,5.71,,
1168,,χ,Peg,3.650458,20.206694,4.79,,
1170,,7,Cet,3.660125,-18.932694,4.44,,
1196,,35,Psc,3.744917,8.821028,6.02,,
1319,,36,Psc,4.141917,8.240194,6.12,,
1366,,θ,And,4.273083,38.681667,4.61,,
1473,,σ,And,4.582125,36.785333,4.51,,
1501,,26,And,4.675625,43.791139,6.1,,
1562,,ι,Cet,4.857,-8.823833,3.56,,
1599,,ζ,Tuc,5.007958,-64.877611,4.23,,
1645,,d,Psc,5.149417,8.19025,5.38,,
1647,,π,Tuc,5.162667,-69.624917,5.5,,
1686,,ρ,And,5.280125,37.968694,5.16,,
1708,,ι,Scl,5.379917,-28.981306,5.18,,
1772,,42,Psc,5.606042,13.482444,6.25,,
1803,,9,Cet,5.714792,-12.209583,6.39,,
1960,,12,Cas,6.197875,61.831056,5.38,,
2006,,44,Psc,6.350917,1.939722,5.77,,
2021,,β,Hyi,6.413333,-77.255028,2.82,,
2072,,κ,Phe,6.5505,-43.679917,3.93,,
2081,Ankaa,α,Phe,6.570292,-42.305111,2.4,アンカ,
2100,,10,Cet,6.655708,-0.049528,6.16,,
2210,,η,Scl,6.982125,-33.007056,4.86,,
2219,,47,Psc,7.011833,17.893083,5.01,,
2224,,48,Psc,7.052875,16.445111,6.05,,
2353,,12,Cet,7.509792,-3.957306,5.72,,
2355,,28,And,7.530583,29.751694,5.2,,
2472,,λ1,Phe,7.853583,-48.803556,4.76,,
2474,,13,Cas,7.855,66.519639,6.18,,
2484,,β1,Tuc,7.885667,-62.958083,4.36,,
2487,,β2,Tuc,7.889,-62.965444,4.53,,
2505,,λ,Cas,7.943,54.522333,4.74,,
2548,,51,Psc,8.098958,6.955444,5.69,,
2568,,52,Psc,8.1475,20.294444,5.38,,
2599,,κ,Cas,8.249958,62.931778,4.17,,
2629,,θ,Tuc,8.346792,-71.266222,6.11,,
2707,,16,Cas,8.603708,66.750361,6.47,,
2762,,13,Cet,8.811,-3.59275,5.2,,
2787,,14,Cet,8.886458,-0.505472,5.94,,
2802,,λ2,Phe,8.921375,-48.000667,5.51,,
2903,,53,Psc,9.197125,15.23175,5.89,,
2912,,π,And,9.220167,33.719361,4.34,,
2920,,ζ,Cas,9.242792,53.896944,3.69,,
3031,,ε,And,9.639583,29.312361,4.34,,
3092,,δ,And,9.831667,30.861222,3.27,,
3093,,54,Psc,9.842042,21.251361,5.88,,
3138,,55,Psc,9.981458,21.438556,5.36,,
3179,Schedar,α,Cas,10.126625,56.537417,2.24,シェダル,
3231,,32,And,10.28,39.458667,5.3,,
3245,,μ,Phe,10.331583,-46.085,4.59,,
3277,,ξ,Phe,10.442917,-56.501444,5.72,,
3300,,ξ,Cas,10.516167,50.512528,4.8,,
3330,,ρ,Tuc,10.617917,-65.468139,5.38,,
3356,,λ1,Scl,10.678708,-38.463472,6.05,,
3405,,η,Phe,10.8385,-57.463111,4.36,,
3414,,π,Cas,10.867042,47.024639,4.95,,
3419,Diphda,β,Cet,10.896792,-17.986694,2.04,デネブ,
3455,,φ1,Cet,11.047542,-10.609278,4.77,,
3456,,λ2,Scl,11.049667,-38.421972,5.9,,
3504,,ο,Cas,11.18125,48.284389,4.48,,
3559,,18,Cet,11.369625,-12.880306,6.15,,
3572,,21,Cas,11.412958,74.988139,5.64,,
3632,,57,Psc,11.637417,15.475611,5.36,,
3675,,58,Psc,11.755958,11.973944,5.51,,
3685,,59,Psc,11.8065,19.578694,6.11,,
3693,,ζ,And,11.834958,24.267389,4.08,,
3697,,60,Psc,11.848417,6.740972,5.98,,
3721,,23,Cas,11.94175,74.847583,5.42,,
3730,,61,Psc,11.978042,20.925306,6.51,,
3760,,62,Psc,12.07225,7.299917,5.92,,
3781,,λ,Hyi,12.146333,-74.923361,5.09,,
3786,,δ,Psc,12.170417,7.585194,4.44,,
3801,,ν,Cas,12.208292,50.968194,4.9,,
3810,,64,Psc,12.244625,16.941139,5.07,,
3821,Achird,η,Cas,12.27125,57.816556,3.46,アキルド,
3881,,ν,And,12.453458,41.078944,4.53,,
3885,,65,Psc,12.471292,27.710306,5.55,,
3909,,φ2,Cet,12.532167,-10.643778,5.17,,
3949,,ρ,Phe,12.671375,-50.986917,5.24,,
4084,,λ1,Tuc,13.102125,-69.503583,6.67,,
4147,,20,Cet,13.252042,-1.144222,4.78,,
4257,,21,Cet,13.57325,-8.740556,6.15,,
4267,,66,Psc,13.64675,19.188444,5.8,,
4288,,36,And,13.74175,23.628444,5.46,,
4292,,υ1,Cas,13.750792,58.972806,4.83,,
4293,,λ,Tuc,13.75125,-69.526972,5.45,,
4366,,k,Psc,13.993833,27.209361,6.08,,
4371,,φ3,Cet,14.006292,-11.2665,5.35,,
4422,,υ2,Cas,14.166708,59.181167,4.62,,
4427,,γ,Cas,14.177083,60.71675,2.15,,
4436,,μ,And,14.187917,38.49925,3.86,,
4463,,η,And,14.301792,23.41775,4.4,,
