"年","週","始まり","終わり","総数","北海道","青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県","愛知県","三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県"
2018,"01週",2018-01-01,2018-01-07,80215,2176,613,920,991,817,237,1219,2843,845,1012,4317,3068,4357,3454,1037,283,375,676,603,1884,2174,3138,3760,1052,1314,1752,3982,2177,679,407,676,521,1896,2273,980,638,1093,1119,902,5699,863,1823,1970,1678,2016,2064,1842
2018,"02週",2018-01-08,2018-01-14,131194,2279,1237,1402,1680,891,582,1683,3619,1690,2310,7570,6304,9456,8324,1625,721,644,979,1335,2362,2366,5527,6322,1942,1362,2818,6553,4599,1213,956,965,717,2126,2595,1643,1002,1507,1794,1523,8574,1364,2658,2775,2390,3117,3774,2319
2018,"03週",2018-01-15,2018-01-21,257576,3646,2194,2301,3629,1413,1672,3745,6075,3139,4254,15840,13174,20612,18808,3353,1530,1376,1597,2328,4204,3753,9441,12113,4495,2221,5512,13467,10230,2247,2214,1523,1316,3609,4849,3913,1524,2378,3277,3076,17190,2716,4776,5301,4779,5013,8047,3706
2018,"04週",2018-01-22,2018-01-28,259328,6044,2869,2944,4540,2237,2332,4068,6017,3252,4637,16745,13533,22504,22124,4711,1770,1823,1707,2117,4138,3319,7281,12126,4347,2199,5613,12915,10068,2582,2229,1300,1337,3433,4636,3651,1428,1892,3049,2575,15456,2417,3889,4444,4336,3629,5827,3238
2018,"05週",2018-01-29,2018-02-04,269230,10111,3537,3704,5145,2401,2394,4422,6154,3172,4800,17550,13691,22104,23204,5017,1960,2424,1689,2218,4419,3338,6681,12207,4196,2300,6178,13720,9971,2450,2462,1174,1386,3588,4921,4235,1494,1763,2982,3177,13986,2321,3810,4405,4471,3305,6009,2584
2018,"06週",2018-02-05,2018-02-11,225402,12470,2946,3386,4582,2282,1939,3790,4834,2697,3502,13100,10739,16376,16563,4085,1901,1949,959,1893,4053,2797,5263,9591,3194,2428,5461,11668,8706,1843,2164,1325,1260,3554,4099,4272,1519,1536,2747,3248,10572,1882,3261,3971,3496,3334,5269,2896
2018,"07週",2018-02-12,2018-02-18,147124,8466,1789,2150,2996,1579,1174,2627,3601,1675,2519,7306,6173,9137,8725,2491,1380,972,463,1204,2833,2282,3477,6351,2208,1812,3733,7951,5757,1439,1445,949,968,2944,3094,2670,1220,1142,2386,2199,6489,1225,2182,2508,2199,2518,3486,3230
2018,"08週",2018-02-19,2018-02-25,112312,7043,1471,1695,2459,1350,1012,1939,2615,1422,1979,5374,4733,6963,6515,2185,1220,1067,502,955,2228,1509,2920,5056,1776,1338,2782,6193,4572,1122,1025,853,633,2230,2319,1844,988,1017,1771,1549,4045,850,1504,1520,1314,1839,2513,2503
2018,"09週",2018-02-26,2018-03-04,86309,6069,1138,1528,2265,1376,1001,1686,2114,1191,1672,3725,3263,4988,4825,2012,1227,1103,618,783,2127,1256,2370,4128,1253,906,2240,4611,3176,781,698,554,531,1814,1730,1203,802,827,1400,1115,2734,642,1030,1016,798,1095,1443,1445
2018,"10週",2018-03-05,2018-03-11,59638,4304,1072,1222,1819,1300,833,1323,1303,838,1141,2148,2091,3272,3027,1766,932,946,678,532,1569,1038,1730,2862,880,628,1359,3086,2132,519,396,363,438,1165,1145,828,504,547,885,653,1782,371,652,622,499,529,788,1121
2018,"11週",2018-03-12,2018-03-18,42837,3254,984,1057,1245,1185,677,1055,872,562,716,1511,1371,2185,2019,1656,801,779,566,372,1158,683,1055,2048,564,412,944,1885,1426,323,254,280,296,814,939,483,305,580,731,384,1256,272,407,403,330,365,508,865
2018,"12週",2018-03-19,2018-03-25,26499,2304,770,892,742,942,539,776,499,316,406,853,692,1204,967,1239,568,577,456,179,723,433,479,1148,303,261,532,962,843,151,129,232,232,465,541,291,180,354,431,214,704,142,254,227,160,237,308,642
2018,"13週",2018-03-26,2018-04-01,16791,1501,553,624,528,580,486,616,233,227,225,488,412,788,571,1161,388,353,248,131,410,210,239,620,138,107,268,580,442,115,62,142,110,305,348,173,95,202,225,110,465,113,180,150,109,126,168,466
2018,"14週",2018-04-02,2018-04-08,9848,1072,384,430,291,339,341,470,141,111,101,277,182,452,311,723,200,224,135,87,291,116,130,342,76,44,146,262,245,70,24,86,58,131,188,81,55,91,144,41,218,50,108,85,101,58,67,269
2018,"15週",2018-04-09,2018-04-15,8222,1028,458,423,263,329,301,483,83,89,76,169,137,358,175,624,130,167,98,80,278,109,105,232,40,27,97,219,131,48,14,97,25,67,123,114,23,82,67,32,154,47,102,46,62,78,62,270
2018,"16週",2018-04-16,2018-04-22,8715,1060,393,526,316,312,310,513,110,75,105,212,165,374,237,564,107,177,100,134,302,147,159,240,42,35,69,199,202,20,17,93,35,66,86,155,32,55,51,24,176,74,76,65,135,116,64,190
2018,"17週",2018-04-23,2018-04-29,6072,693,241,455,252,212,188,296,42,48,82,177,111,299,200,301,75,99,69,66,172,48,92,166,28,68,66,130,156,18,8,76,24,48,74,80,29,51,50,6,156,76,70,65,64,114,64,167
2018,"18週",2018-04-30,2018-05-06,3019,368,157,281,78,201,64,148,21,8,30,85,41,96,70,111,52,71,28,11,64,47,28,56,17,27,29,47,68,6,1,34,19,15,41,32,15,29,55,5,126,44,24,60,22,42,19,126
2018,"19週",2018-05-07,2018-05-13,2084,235,83,115,50,62,39,84,37,9,13,45,41,93,61,79,20,27,34,9,25,22,39,29,10,19,38,40,48,12,7,47,20,27,41,41,52,16,29,5,104,34,28,47,19,40,12,97
2018,"20週",2018-05-14,2018-05-20,1960,228,44,97,51,55,25,86,21,35,12,27,51,74,72,43,12,61,28,17,39,19,18,47,26,15,29,30,40,3,4,55,12,16,21,14,62,23,33,5,129,30,39,36,3,46,30,97
2018,"21週",2018-05-21,2018-05-27,1316,155,13,36,29,23,16,66,27,18,5,29,18,66,57,15,4,49,14,8,16,21,10,31,40,6,11,49,24,5,3,25,19,4,14,5,10,4,18,12,103,11,40,36,0,21,30,100
