"Constellation","RA1","Dec1","RA2","Dec2"
"1",201.298333,-11.16125,203.673958,-0.595944
"2",214.7775,-13.371167,213.223917,-10.274056
"2",213.223917,-10.274056,214.003667,-5.999528
"2",214.003667,-5.999528,217.050917,-2.227944
"3",228.055458,-19.791639,222.719917,-16.041611
"3",222.719917,-16.041611,229.251958,-9.382861
"3",229.251958,-9.382861,233.881417,-14.789556
"3",233.881417,-14.789556,228.055458,-19.791639
"4",241.359292,-19.805389,240.083375,-22.621611
"4",240.083375,-22.621611,239.713,-26.114056
"4",239.713,-26.114056,239.221208,-29.214
"5",245.297167,-25.59275,247.351958,-26.431944
"5",247.351958,-26.431944,248.970667,-28.215972
"6",252.542667,-34.292611,252.967667,-38.047333
"6",252.967667,-38.047333,253.646292,-42.36075
"6",253.646292,-42.36075,258.03825,-43.2385
"6",258.03825,-43.2385,264.329708,-42.997833
"6",264.329708,-42.997833,266.896167,-40.126972
"6",266.896167,-40.126972,265.622,-39.029917
"6",265.622,-39.029917,263.402208,-37.10375
"6",263.402208,-37.10375,262.691,-37.29575
"7",275.248417,-29.828028,271.452167,-30.423639
"7",271.452167,-30.423639,274.407208,-36.761278
"7",274.407208,-36.761278,276.043125,-34.384306
"7",276.043125,-34.384306,275.248417,-29.828028
"8",286.735167,-27.669806,283.816333,-26.296583
"8",283.816333,-26.296583,281.413958,-26.990778
"8",281.413958,-26.990778,285.653,-29.880111
"8",284.324625,-44.301306,286.735167,-27.669806
"9",304.513417,-12.544861,305.252708,-14.781389
"9",305.252708,-14.781389,307.215083,-17.813667
"9",307.215083,-17.813667,306.83,-18.211694
"10",311.918875,-9.495694,313.163375,-8.98325
"10",313.163375,-8.98325,313.036208,-5.507056
"10",313.036208,-5.507056,311.934333,-5.027611
"10",311.934333,-5.027611,311.918875,-9.495694
"11",322.889667,-5.571167,318.955833,5.248083
"12",331.445958,-0.319833,326.046417,9.875
"12",326.046417,9.875,332.54925,6.197778
"12",332.54925,6.197778,331.445958,-0.319833
"13",346.190083,15.205361,345.943042,28.082444
"14",3.308958,15.183611,2.096542,29.090833
"15",17.863292,21.034667,14.301792,23.41775
"15",14.301792,23.41775,11.834958,24.267389
"15",11.834958,24.267389,9.639583,29.312361
"15",9.639583,29.312361,9.831667,30.861222
"15",9.831667,30.861222,9.220167,33.719361
"15",9.220167,33.719361,12.453458,41.078944
"15",12.453458,41.078944,14.187917,38.49925
"15",14.187917,38.49925,17.4325,35.620833
"15",17.4325,35.620833,17.914958,30.089722
"15",17.914958,30.089722,19.866583,27.264083
"15",19.866583,27.264083,18.43725,24.583778
"15",18.43725,24.583778,17.863292,21.034667
"16",28.382375,19.294083,28.659792,20.808306
"16",28.659792,20.808306,31.792875,23.462778
"17",42.495792,27.260778,40.862958,27.707167
"17",40.862958,27.707167,41.976833,29.247417
"17",41.976833,29.247417,42.495792,27.260778
"18",56.218833,24.113444,56.302,24.467389
"18",56.302,24.467389,56.871083,24.10525
"18",56.871083,24.10525,56.5815,23.948472
"18",56.5815,23.948472,56.218833,24.113444
"19",67.153875,19.180528,65.733458,17.542583
"19",65.733458,17.542583,64.429125,13.836472
"19",64.948042,15.627694,67.165292,15.870944
"19",67.165292,15.870944,68.98,16.50975
"20",84.226375,9.291417,83.705167,9.489583
"20",83.705167,9.489583,83.7845,9.934167
"20",83.7845,9.934167,84.226375,9.291417
"21",88.792875,7.407028,81.282792,6.349722
"21",81.282792,6.349722,83.001667,-0.299083
"21",83.001667,-0.299083,84.053375,-1.201917
"21",83.001667,-0.299083,78.634458,-8.201639
"21",84.053375,-1.201917,85.189667,-1.942583
"22",95.739958,22.513861,97.240792,20.212167
"22",102.887708,21.761222,97.240792,20.212167
"22",106.02725,20.570306,99.427917,16.399417
"22",97.240792,20.212167,99.427917,16.399417
"22",99.427917,16.399417,101.322625,12.896056
"22",100.983042,25.131167,102.887708,21.761222
"22",102.887708,21.761222,106.02725,20.570306
"22",106.02725,20.570306,109.523375,16.540472
"23",131.171292,18.154861,127.899042,18.094556
"23",127.899042,18.094556,128.177167,20.441278
"23",128.177167,20.441278,130.821708,21.468583
"23",130.821708,21.468583,131.171292,18.154861
"24",129.689375,3.341472,129.414208,5.703806
"24",129.414208,5.703806,131.694375,6.418917
"24",131.694375,6.418917,133.848667,5.945528
"24",131.694375,6.418917,130.806208,3.398667
"24",133.848667,5.945528,136.49325,5.092333
"24",136.49325,5.092333,138.590792,2.315028
"25",144.963875,-1.142667,142.995542,-1.184667
"25",142.995542,-1.184667,142.286833,-2.768944
"25",142.286833,-2.768944,141.896875,-8.658694
"25",141.896875,-8.658694,140.120958,-9.555639
"25",140.120958,-9.555639,139.943333,-11.974889
"26",145.076583,-14.33225,147.8695,-14.846556
"26",147.8695,-14.846556,151.281208,-13.064667
"26",151.281208,-13.064667,152.6475,-12.353833
"26",152.6475,-12.353833,156.522958,-16.836083
"26",156.522958,-16.836083,159.645875,-16.876639
"27",162.405958,-16.194139,164.944792,-18.299111
"27",164.944792,-18.299111,169.8355,-14.779056
"27",169.8355,-14.779056,174.170625,-9.80225
"27",174.170625,-9.80225,171.152542,-10.859389
"27",171.152542,-10.859389,165.812208,-11.303222
"27",166.333458,-27.293583,167.914542,-22.825611
"27",167.914542,-22.825611,176.190667,-18.350611
"27",176.190667,-18.350611,171.22075,-17.684028
"28",182.531375,-22.619806,183.951958,-17.541972
"28",183.951958,-17.541972,187.466583,-16.515083
"28",187.466583,-16.515083,188.596792,-23.396611
"28",188.596792,-23.396611,182.531375,-22.619806
